query_id,pmid,publication_date,title,title_screen,evidence_id,reason
DB001,31116172,2019-08,"Virtual Standardized Patient Simulation: Case Development and Pilot Application to High-Value Care.",include,HSP-014,"Direct case development and transcript-level avatar appropriateness"
DB001,41133180,2025-10,"ECOSBot: a multicenter validation pilot study of a generative AI tool for OSCE-based nephrology training.",include,LLM-013,"Patient simulation fidelity and multicenter expert ratings"
DB001,41522639,2025-12,"Difficult Conversation Case: Missed Testicular Cancer.",exclude,,"Case content rather than patient disclosure methodology"
DB001,34993309,2021-12,"Training Preclerkship Medical Students on History Taking in Transgender and Gender Nonconforming Patients.",exclude,,"Specific communication curriculum; no title-level disclosure-method signal"
DB001,29395476,2018-06,"Exploring patient-centeredness: The relationship between self-reported empathy and patient-centered communication in medical trainees.",exclude,,"Learner empathy and communication rather than patient-role design"
DB001,33768152,2021-03-04,"Improving Child Neurology Residents' Communication Skills Through Objective Structured Clinical Exams.",exclude,,"Generic OSCE communication outcome"
DB001,34956698,2021-12,"Tutor-Student Partnership in Practice OSCE to Enhance Medical Education.",exclude,,"Learner OSCE intervention without disclosure-method signal"
DB001,38227363,2024-01-16,"A Generative Pretrained Transformer (GPT)-Powered Chatbot as a Simulated Patient to Practice History Taking: Prospective, Mixed Methods Study.",include,LLM-011,"Script coverage and fictitious-information measurement"
DB001,35497675,2022,"Early Refill of an Opioid Medication: Recognizing Personal Biases Through Clinical Vignettes and OSCEs.",exclude,,"Case-specific curriculum"
DB001,29137720,2018-02,"Improving surgical residents' communication in disclosing complications: A qualitative analysis of simulated physician and patient surrogate conversations.",exclude,,"Clinician error disclosure is a false-positive use of disclosure"
DB001,38380273,2024,"Medical Error Disclosure: An Entrustable Professional Activity During an Objective Standardized Clinical Examination for Clerkship Students.",exclude,,"Clinician error disclosure rather than patient information release"
DB001,16720154,2006-06,"The use of virtual patients to teach medical students history taking and communication skills.",include,VP-001,"Foundational interactive history-taking VP trial"
DB001,32044855,2020-04,"Comparison of Resident Self-Evaluation to Standardized Patient Evaluators in a Multi-Institutional Objective Structured Clinical Examination: Objectively Measuring Residents' Communication and Counseling Skills.",exclude,,"Evaluator comparison rather than patient-role fidelity"
DB001,33097361,2021-05,"Improved detection of patient centeredness in objective structured clinical examinations through authentic scenario design.",supplemental,,"Potential scenario-authenticity evidence; abstract appraisal pending"
DB001,42092621,2026-06,"The Price of Preparedness: An Economic Evaluation of an OSCE in Pharmacy Training.",exclude,,"Economic evaluation"
DB001,8546794,1996-01,"Psychometric properties of a standardized-patient checklist and rating-scale form used to assess interpersonal and communication skills.",supplemental,,"Potential measurement background; not directly patient disclosure"
DB001,39070287,2024,"Artificial Intelligence and Objective Structured Clinical Examinations: Using ChatGPT to Revolutionize Clinical Skills Assessment in Medical Education.",exclude,,"Broad AI-OSCE discussion without title-level simulated-patient design signal"
DB001,38323963,2024-01,"Evaluating the Impact of an Adolescent Sexuality Education Workshop on Medical Student Communication in an Objective Structured Clinical Examination.",exclude,,"Specific learner intervention"
DB001,17701632,2007-03,"Developing performance-based medical school assessment programs in resource-limited environments.",supplemental,,"Assessment-program background only"
DB001,22472338,2012-04,"Assessing residents' disclosure of adverse events: traditional objective structured clinical examinations versus mixed reality.",exclude,,"Clinician adverse-event disclosure"
DB001,29510606,2018-03,"Medical students' clinical performance of dealing with patients in the context of domestic violence.",exclude,,"Specific learner performance context"
DB001,21453567,2011-03,"Assessing residents' communication skills: disclosure of an adverse event to a standardized patient.",exclude,,"Clinician adverse-event disclosure"
DB001,39916087,2023-07-06,"The relationship between facilitating emotional cues and medical students' clinical communication performance in qualifying exams.",supplemental,,"Potential cue-response evidence; full abstract appraisal pending"
DB001,39742453,2025-01-01,"Application of Large Language Models in Medical Training Evaluation-Using ChatGPT as a Standardized Patient: Multimetric Assessment.",supplemental,,"Potential LLM-SP metrics; full abstract appraisal pending"
DB001,38851013,2024-10,"Validity evidence for the clinical communication skills assessment tool (CCSAT) from 9 years of implementation in a high stakes medical student OSCE.",supplemental,,"Measurement background; indirect to disclosure"
DB001,41619909,2026-03,"A Critical Eye on OSCE Use: A Framework for Evaluating Impact, Efficiency, and Sustainability.",supplemental,,"Current OSCE evaluation framework; indirect"
DB001,19920441,2009-06,"A patient safety objective structured clinical examination.",exclude,,"Case-specific OSCE with no disclosure-method signal"
DB002,39312284,2024-09-23,"Enhancing Medical Interview Skills Through AI-Simulated Patient Interactions: Nonrandomized Controlled Trial.",include,LLM-012,"AI simulated-patient educational outcome"
DB002,41420084,2025-12-19,"Simulated patient systems powered by large language model-based AI agents offer potential for transforming medical education.",supplemental,,"Broad overview; full-text type and directness pending"
DB002,40674718,2025-07-17,"Clinical Performance and Communication Skills of ChatGPT Versus Physicians in Emergency Medicine: Simulated Patient Study.",exclude,,"LLM acts as clinician rather than patient"
DB002,41133180,2025-10,"ECOSBot: a multicenter validation pilot study of a generative AI tool for OSCE-based nephrology training.",include,LLM-013,"Duplicate of DB001 retained record"
DB002,41721322,2026-02-20,"Development and preliminary evaluation of a virtual standardized patient system for psychiatric interview training.",include,LLM-018,"Clinician scripts modified Delphi expert consistency and preliminary RCT"
DB002,41481915,2026-01-02,"Large Language Model-Based Virtual Patient Systems for History-Taking in Medical Education: Comprehensive Systematic Review.",include,LLM-004,"Current comprehensive review"
DB002,40749190,2025-08-01,"Utility of Generative Artificial Intelligence for Japanese Medical Interview Training: Randomized Crossover Pilot Study.",supplemental,,"Relevant educational trial; full abstract appraisal pending"
DB002,40882613,2025-08-29,"Development and Validation of a Large Language Model-Based System for Medical History-Taking Training: Prospective Multicase Study on Evaluation Stability, Human-AI Consistency, and Transparency.",include,LLM-014,"Multicase stability and cross-model evaluation"
DB002,40500171,2026-03,"Enhancing Dental Students' History-Taking Skills With a Generative Artificial Intelligence Chatbot.",supplemental,,"Relevant educational study; fidelity details pending"
DB002,42275635,2026-06-11,"Patient Cognitive Bias in Large Language Model-Supported Health Consultations: Simulation-Based Comparative Study.",exclude,,"Patient-facing consultation support rather than virtual-patient role"
DB002,41701946,2026-02-17,"AI- vs Human-Based Assessment of Medical Interview Transcripts in a Generative AI-Simulated Patient System: Cross-Sectional Validation Study.",supplemental,,"Assessment validation; useful later but indirect to patient behavior"
DB002,40128772,2025-03-24,"Evaluating podcasts as a tool for OSCE training: a randomized trial using generative AI-powered simulation.",exclude,,"Primary intervention is podcast training"
DB002,39994780,2025-02-24,"The feasibility of using generative artificial intelligence for history taking in virtual patients.",include,LLM-015,"Korean-platform expert review of hallucination omission and dialogue quality"
DB002,42083027,2026-05-04,"Utilizing generative artificial intelligence to create simulated patient for history taking in gynecology.",supplemental,,"Relevant system study; full abstract appraisal pending"
DB002,41379104,2025-12,"Scaffolding for success: Blending learning with and about Generative AI in medical education.",exclude,,"Broad GenAI curriculum"
DB002,37589944,2023-12,"Complications Following Facelift and Neck Lift: Implementation and Assessment of Large Language Model and Artificial Intelligence (ChatGPT) Performance Across 16 Simulated Patient Presentations.",exclude,,"LLM performance on patient presentations rather than patient role"
DB002,42598023,2026,"Artificial intelligence for affective-domain development in healthcare professions education: a systematic review.",exclude,,"Affective-domain review broader than simulated-patient information disclosure"
DB002,42351097,2026-06-25,"Development and pilot evaluation of a large language model-based clinical simulation system for medical education in gastroenterology.",supplemental,,"Potential clinical simulation design evidence"
DB002,42155101,2026-05-19,"Feasibility of Large Language Model-Based Standardized Virtual Patients to Support Clinical Decision-Making Training in Operative Dentistry: Mixed Methods Study.",include,LLM-006,"Explicit greeting over-disclosure and patient-knowledge failures"
DB002,41678789,2026-02-12,"Using AI to Train Future Clinicians in Depression Assessment: Feasibility Study.",supplemental,,"Potential psychiatric interview simulation evidence"
DB002,42326139,2026-05,"Robustness of a Large Language Model (LLM)-Based Virtual Patient for Japanese History-Taking Training Under Direct and Indirect Instructional Contamination.",include,LLM-005,"Forbidden leakage and robustness benchmark"
DB002,42535722,2026-07-30,"Evaluating Large Language Model-Based Automated Scoring in a Voice-Based Virtual Standardized Patient Platform for Medical Students: A Cross-Sectional Agreement Study.",supplemental,,"Voice-platform scoring agreement; indirect to patient behavior"
DB002,42391624,2026-07-02,"Agreement Between Reasoning-Oriented Generative AI Models and Clinical Educators in Evaluating Japanese Objective Structured Clinical Examination Transcripts: Preliminary Comparative Study.",exclude,,"Evaluator model rather than patient portrayal"
DB002,42605156,2026-08-14,"AI for Clinical Competency Assessment: Scoping Review of Methods and Applications.",exclude,,"Assessment review broader than patient role"
