source_group,examples,access_status,permitted_use_in_g1,prohibited_or_pending_use,action
ASPE open standard,HSP-001,"Open access; article states CC BY 4.0","Cite and paraphrase with attribution","Do not remove attribution","Retain URL DOI and license note"
ASPE case template,HSP-002,"Publicly accessible; ASPE states copyrighted educational-use terms","Use as attributed completeness reference","No wholesale commercial reuse or redistribution without permission","Do not copy template into product; request permission if later needed"
INACSL and AMEE standards,"HSP-003; HSP-010","Citation or abstract accessible; full text may be licensed","Record bibliographic metadata and paraphrased principles","No redistribution of licensed full text","Obtain authorized institutional copy for full appraisal"
Peer-reviewed PMC articles,"HSP-004; HSP-007; HSP-012; VP-001; VP-003; VP-004; LLM-002 to LLM-006; KR-001 to KR-003","Public full text with article-specific licenses","Cite; extract brief factual findings; record license during full review","Do not assume all PMC content shares one reuse license","Capture each article license before any figure/table reuse"
DOI or abstract-only journal records,"HSP-005; HSP-011; VP-002; LLM-001; LLM-009","Metadata or abstract currently available","Use citation and abstract-supported facts","No full-text claims or redistribution without authorized access","Retrieve through lawful library access before final appraisal"
Secondary-hosted practice article,HSP-006,"Primary abstract plus secondary-hosted full copy reported by independent audit","Use citation abstract-supported facts and clearly provisional discovery notes","Do not treat secondary-full extraction as final or redistribute the copy","Obtain authorized primary or lawful library full text before final appraisal"
Public university SP guidance,HSP-009,"Public web guidance; no broad reuse license identified","Cite and paraphrase operational principles","Do not reproduce handbook sections wholesale","Preserve link and access date"
Secondary-hosted OSCE guideline,HSP-008,"Copy found on a secondary host; original authorization not yet confirmed","Use title metadata and short discovery notes only","Do not archive or redistribute the PDF","Locate an authorized original or library copy"
Preprints,"VP-005; LLM-008; LLM-010","Public preprint","Cite with explicit preprint label; use for hypothesis generation","Do not present as settled or peer-reviewed evidence","Check publication status during update search"
Korean KCI and journal sources,"KR-004; KR-005","Public metadata or PDF subject to publisher terms","Cite and paraphrase after full appraisal","No bulk reproduction of articles or case scripts","Record Korean bibliographic metadata and license"
Local CPX_source accepted artifacts,"LOC-001 to LOC-003","Internal read-only project material with provenance records","Reference findings and reuse only internally authored policy concepts after validation","Do not modify source tree or publish embedded source content","Keep paths stable; hash selected reports at G-1 close"
Local CPX_source invalidated or pending artifacts,"LOC-004; LOC-005","Internal read-only research evidence","Use as negative engineering evidence and scope guard","Do not import parser outputs or treat pending labels as ground truth","Keep SP2D and SP2E frozen"
Restricted or recalled examination content,EX-008,"Unauthorized or unclear","None","No collection transcription transformation or model input","Exclude and document reason"
Commercial OSCE preparation material,EX-004,"Commercial or terms unclear","Bibliographic discovery only if needed","No script extraction or dataset construction","Prefer standards and primary research"
