record_id,stream,year,source_type,title,url_or_path,directness,key_extraction,design_implication,limitations
HSP-001,Human SP,2017,International consensus standard,The Association of Standardized Patient Educators Standards of Best Practice,https://pmc.ncbi.nlm.nih.gov/articles/PMC5806371/,high,"Cases should align with measurable objectives; be authentic and repeatable; include history affect symptoms and cues; undergo review and dry-runs","Treat disclosure policy and cue timing as assessable case components with expert review and pilot testing","Consensus standard; does not prescribe a universal turn-level taxonomy"
HSP-002,Human SP,2025,Official template,ASPE Case Development Template,https://www.aspeducators.org/aspe-case-development-template,medium,"Comprehensive case-development structure built on ASPE standards","Use as a completeness checklist rather than copying the template","Copyrighted; educational-use terms require attribution and restrict commercial reuse"
HSP-003,Simulation standard,2021,International standard,Healthcare Simulation Standards of Best Practice Simulation Design,https://doi.org/10.1016/j.ecns.2021.08.009,medium,"Simulation design should be objective-aligned systematic piloted and evaluated","Disclosure behaviors need explicit objectives prebriefing assumptions pilot scenarios and evaluation criteria","Broad simulation standard; not specific to conversational disclosure"
HSP-004,Human SP,2019,Position paper,Minimum standards and development perspectives for the use of simulated patients,https://pmc.ncbi.nlm.nih.gov/articles/PMC6545616/,medium,"Case development and SP training require quality standards and structured processes","Add governance training-equivalent documentation and quality review to AI-SP authoring","Position paper; jurisdiction differs from Korean CPX"
HSP-005,Human SP,1997,Practice article,A Practical Approach to Developing Cases for Standardized Patients,https://dc.etsu.edu/etsu-works/13812/,high,"Guidelines governing what the SP discloses to the learner improve case value","Represent disclosure instructions separately from medical truth","Older practice article; full text availability and methods need database verification"
HSP-006,Human SP,2011,Practice article with secondary-full verification,Standardized Patients Part 2 Developing a Case,https://doi.org/10.1123/ijatt.16.3.24,medium,"A secondary-hosted full copy describes opening statements as a case element","Opening behavior may need explicit case-level authoring","Athletic-training context; authorized primary full-text appraisal remains pending"
HSP-007,Human SP,2021,Case-development report,Developing standardized patient-based cases for communication training,https://pmc.ncbi.nlm.nih.gov/articles/PMC8296470/,medium,"Cases benefit from iterative multidisciplinary development attention to emotion stereotypes and pilot revision","Require clinical communication and SP-methodology review rather than model-only authoring","Specific to diagnostic-uncertainty communication cases"
HSP-008,Human SP,2013,Secondary-hosted guideline provisional,Guidelines for the Development of Objective Structured Clinical Examination Cases,https://www.researchgate.net/publication/281066279_Guidelines_for_the_development_of_objective_structured_clinical_examination_OSCE_cases,medium,"A secondary-hosted copy appears to describe case-specific opening statements conditional release and cue timing","Opening and patient prompts may need case-configurable timing","Substantive final extraction awaits an authorized original or lawful library copy; do not redistribute the secondary copy"
HSP-009,Human SP,current,Public university handbook,Human Simulation Program Policy and Procedure Handbook,https://www.sdstate.edu/nursing/healthcare-simulation-center/human-simulation-program-policy-procedure-handbook,high,"Some information must not be offered unless asked; reasonable questions should receive enough information; unspecified facts should not be ad-libbed","Implement prompted-only facts bounded sufficiency and explicit unknown responses","Operational guidance rather than comparative empirical research"
HSP-010,OSCE,2013,AMEE guide,The Objective Structured Clinical Examination AMEE Guide No 81 Part II,https://doi.org/10.3109/0142159X.2013.818635,medium,"Complex roles require advance training to ensure reliable repeated portrayal across candidates","Provider and run-to-run behavior must be evaluated for repeatability","Organization and administration focus; detailed disclosure rules not central"
HSP-011,Human SP,2024,Training framework,Training framework for high-stakes OSCE,https://doi.org/10.1111/tct.13787,medium,"Script work mock videos feedback and readiness checks target complete role accuracy","Create gold trajectories and readiness thresholds before deployment","Single-program experience; not an LLM study"
HSP-012,Human SP,2011,Empirical methodology,The Advantages and Challenges of Unannounced Standardized Patients Methodology,https://pmc.ncbi.nlm.nih.gov/articles/PMC3064426/,high,"SPs followed physician lead and varied disclosure with open versus closed questions; fidelity tracked prompted volunteered omitted and withheld facts","Evaluate each fact by elicitation status and distinguish open-question bundles from focused answers","Small role-specific sample; unannounced clinical setting"
HSP-013,Human SP,2023,Literature review,Standardized Patients in Medical Education A Review of the Literature,https://pmc.ncbi.nlm.nih.gov/articles/PMC10431693/,low,"SP education has broad evidence but heterogeneous methods and outcomes","Use for background and citation chasing rather than turn-level rules","Descriptive review; limited direct evidence for disclosure timing"
