scored_unit_id,case,execution_unit_id,planned_evidence_call_ids,authoritative_run_ids,disposition,failure_class,responsible_layer,critical_required_omissions,ordinary_required_omissions,ambiguity_trigger,evidence_excerpt,scorer_id,scoring_spec_sha256,input_bundle_id,scored_at_utc
J01,jaundice,J01-SINGLE,"[""CALL-J01""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J02,jaundice,J02-SINGLE,"[""CALL-J02""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J03,jaundice,J-SEQ-01,"[""CALL-J03""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J04,jaundice,J-SEQ-01,"[""CALL-J03"",""CALL-J04""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J05,jaundice,J05-SINGLE,"[""CALL-J05""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J06,jaundice,J06-SINGLE,"[""CALL-J06""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J07,jaundice,J-SEQ-02,"[""CALL-J07""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J08,jaundice,J08-SINGLE,"[""CALL-J08""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J09,jaundice,J09-SINGLE,"[""CALL-J09""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J10,jaundice,J10-SINGLE,"[""CALL-J10""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J11,jaundice,J11-SINGLE,"[""CALL-J11""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J12,jaundice,J12-SINGLE,"[""CALL-J12""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J13,jaundice,J13-SINGLE,"[""CALL-J13""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J14,jaundice,J-SEQ-02,"[""CALL-J07"",""CALL-J14""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J15,jaundice,J-SEQ-02,"[""CALL-J07"",""CALL-J14"",""CALL-J15""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J16,jaundice,J-SEQ-03,"[""CALL-J16""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
J17,jaundice,J17-SINGLE,"[""CALL-J17""]",,,,,,,,,,105642cbd31ef53f5e319188156f3e151a17cef872bd0bc5b4cf99f1883866a0,,
