record_id,title,decision,reason,reviewer,status
HSP-001,The Association of Standardized Patient Educators Standards of Best Practice,include,"Authoritative SP standard; direct case-development principles",Codex,seed
HSP-002,ASPE Case Development Template 2025,include,"Official implementation template; rights restrictions recorded",Codex,seed
HSP-003,Healthcare Simulation Standards of Best Practice Simulation Design,include,"Simulation-design standard referenced by ASPE",Codex,seed
HSP-004,Minimum standards and development perspectives for simulated patients,include,"Consensus position paper with case-development and training relevance",Codex,seed
HSP-005,A Practical Approach to Developing Cases for Standardized Patients,include,"Direct disclosure-guideline relevance",Codex,seed
HSP-006,Standardized Patients Part 2 Developing a Case,include,"Provisional case-construction relevance; authorized full-text appraisal pending",Codex,seed
HSP-007,Developing standardized patient-based cases for communication training,include,"Iterative case-development lessons",Codex,seed
HSP-008,Guidelines for the Development of OSCE Cases,include,"Provisional opening/cue relevance from secondary host; authorized copy pending",Codex,seed
HSP-009,Human Simulation Program Policy and Procedure Handbook,include,"Explicit prompted-only and no-ad-lib instructions",Codex,seed
HSP-010,The Objective Structured Clinical Examination AMEE Guide No 81 Part II,include,"Standardization and SP training requirements",Codex,seed
HSP-011,Training framework for high-stakes OSCE,include,"Role portrayal accuracy and script training",Codex,seed
HSP-012,Advantages and Challenges of Unannounced Standardized Patients Methodology,include,"Empirical question-contingent disclosure and fidelity matrix",Codex,seed
HSP-013,Standardized Patients in Medical Education A Review of the Literature,include,"Background evidence map; indirect to disclosure",Codex,seed
VP-001,A Randomized Trial of Teaching Clinical Skills Using Virtual and Live Standardized Patients,include,"Classical VP effectiveness and standardized exposure",Codex,seed
VP-002,Virtual patients a critical literature review and proposed next steps,include,"Foundational VP design taxonomy and research agenda",Codex,seed
VP-003,Virtual Patient Simulations in Health Professions Education systematic review and meta-analysis,include,"Effectiveness and evaluation context",Codex,seed
VP-004,Effectiveness of virtual patient tools for clinical reasoning systematic review,include,"Scaffolding and transfer evidence",Codex,seed
VP-005,Training Medical Communication Skills with Virtual Patients literature review,include,"Communication-specific design evidence; preprint status noted",Codex,seed
LLM-001,A Language Model-Powered Simulated Patient With Automated Feedback for History Taking,include,"Prospective LLM-patient study",Codex,seed
LLM-002,A large language model digital patient system enhances ophthalmology history taking skills,include,"Educational outcome and digital-patient implementation",Codex,seed
LLM-003,Embracing the Future of Medical Education With LLM-Based Virtual Patients,include,"Scoping review of LLM virtual patients",Codex,seed
LLM-004,LLM-Based Virtual Patient Systems for History-Taking comprehensive systematic review,include,"Current synthesis of designs and metrics",Codex,seed
LLM-005,Robustness of an LLM-Based Virtual Patient under instructional contamination,include,"Premature disclosure; forbidden information; turn-level robustness",Codex,seed
LLM-006,Feasibility of LLM-Based Standardized Virtual Patients in operative dentistry,include,"Concrete greeting over-disclosure and exam-only knowledge errors",Codex,seed
LLM-007,Automated Evaluation of Standardized Patients with LLMs,include,"Evaluation methodology; conference paper",Codex,seed
LLM-008,Human or LLM as Standardized Patients comparative study,include,"Human comparison and fidelity framework; preprint",Codex,seed
LLM-009,Voluntary use of LLM-powered virtual standardized patients and interview performance,include,"Association with human-SP assessment; observational",Codex,seed
LLM-010,MedSimAI simulation and formative feedback,include,"Deliberate-practice design; preprint",Codex,seed
KR-001,Clinical Performance Examination Utilizing Standardized Patients in Board Examination,include,"Korean high-stakes CPX training and standardization",Codex,seed
